	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
120111	0.7488	0.5182	-1.3172	0.3614	-0.5361	1.3975	1.9463	0.7447	0.0466	-1.0644	-0.6513	0.5938	0.2265	-0.0077	-1.8791	-1.1248
120163	0.4966	0.1574	-1.338	0.2118	-0.5863	1.3699	2.0562	0.8641	0.1973	-0.6115	-0.9551	0.4561	0.1941	0.3431	-2.1899	-0.6649
120165	0.4548	0.1043	-1.4126	0.4484	-0.5242	1.3978	1.8636	1.0678	0.329	-0.9024	-1.0245	0.4564	-0.0395	0.4133	-2.0555	-0.5754
120285	0.555	0.2563	-1.3739	0.4378	-0.5471	1.3876	1.9672	0.9538	0.2408	-0.9625	-0.9463	0.506	0.0497	0.2003	-1.9873	-0.7346
130020	0.7755	0.5579	-1.3246	0.1788	-0.5591	1.3364	2.1196	0.5626	-0.025	-0.821	-0.6771	0.5684	0.3774	-0.0529	-1.9131	-1.1004
130023	0.5837	0.1382	-1.4236	0.127	-0.5387	1.331	1.9353	0.9203	0.1478	-0.6807	-0.9565	0.554	0.1649	0.508	-2.1895	-0.6217
130157	0.5791	0.2246	-1.4223	0.388	-0.5127	1.3793	1.9188	0.9804	0.2347	-0.9652	-0.9753	0.5214	0.0419	0.298	-1.9979	-0.6905
130199	0.4497	0.1225	-1.3688	0.467	-0.5919	1.3925	2.0061	0.9917	0.3271	-0.8506	-1.0589	0.4148	-0.0278	0.2682	-2.0254	-0.5128
130214	0.5445	0.1494	-1.4469	0.3116	-0.5508	1.3624	1.9035	1.0012	0.2564	-0.8302	-0.9904	0.494	0.0233	0.4412	-2.0932	-0.5749
130221	0.5991	0.2335	-1.3898	0.117	-0.565	1.3216	2.0319	0.8163	0.1181	-0.6227	-0.8906	0.5304	0.2416	0.3735	-2.1922	-0.7227
130275	0.6183	0.2733	-1.3983	0.3364	-0.5136	1.3896	1.8927	0.9417	0.1772	-0.9434	-0.8596	0.5639	0.1235	0.2828	-2.0385	-0.8451
130338	0.3904	0.0858	-1.3689	0.5987	-0.6157	1.4035	1.9464	1.0726	0.4241	-0.9332	-1.1006	0.3722	-0.1798	0.254	-1.9511	-0.3938
130354	0.6972	0.2974	-1.361	-0.0063	-0.521	1.2872	2.1149	0.6799	-0.0023	-0.5904	-0.88	0.5915	0.371	0.2831	-2.1347	-0.8255
130397	0.6139	0.1812	-1.4169	0.1527	-0.516	1.361	1.8791	0.9132	0.1285	-0.7333	-0.8599	0.578	0.2108	0.467	-2.1913	-0.7693
140098	0.6714	0.3563	-1.3781	0.2722	-0.5	1.3625	1.9394	0.862	0.1034	-0.9434	-0.8101	0.6001	0.2065	0.2188	-2.0119	-0.9478
140188	0.5173	0.1521	-1.4109	0.2674	-0.5455	1.3424	1.94	0.9764	0.2297	-0.7509	-0.9782	0.5114	0.0723	0.4434	-2.1482	-0.6182
140332	0.7334	0.4374	-1.371	0.1612	-0.5261	1.3369	1.9822	0.7269	0.0211	-0.7987	-0.7015	0.6111	0.3229	0.1717	-2.0587	-1.0481
140343	0.6256	0.3665	-1.3858	0.2863	-0.5326	1.3438	2.0691	0.7881	0.1386	-0.8425	-0.8688	0.5254	0.1998	0.1599	-2.0141	-0.8571
140627	0.4771	0.1168	-1.3989	0.4819	-0.5569	1.4086	1.8501	1.0949	0.3244	-0.9888	-1.0218	0.4746	-0.0734	0.3626	-2.0016	-0.5472
140630	0.6968	0.3225	-1.3751	0.0426	-0.497	1.3084	1.896	0.8128	-0.0033	-0.7182	-0.7314	0.6703	0.3579	0.3786	-2.1816	-0.981
140646	0.655	0.3285	-1.3748	0.2807	-0.524	1.373	1.9785	0.8411	0.1274	-0.875	-0.836	0.5654	0.2081	0.1941	-2.0368	-0.9036
140867	0.4771	0.1143	-1.3761	0.3521	-0.5653	1.3782	1.93	1.0163	0.2612	-0.7996	-0.9892	0.4891	0.0379	0.3965	-2.1264	-0.5951
141029	0.6246	0.2443	-1.3664	0.1417	-0.4993	1.3714	1.8938	0.8686	0.0921	-0.7604	-0.7845	0.6006	0.292	0.3893	-2.1639	-0.945
141102	0.6977	0.4165	-1.3396	0.2858	-0.5386	1.3864	2.0049	0.7562	0.06	-0.924	-0.7467	0.5797	0.2676	0.0839	-1.9777	-1.0099
141103	0.5524	0.2583	-1.3512	0.4311	-0.5675	1.401	2.0555	0.8833	0.2324	-0.9222	-0.974	0.4718	0.0915	0.1217	-1.9587	-0.7215
141107	0.7097	0.3608	-1.3883	0.0462	-0.4764	1.2998	1.8755	0.8153	0.0086	-0.7419	-0.713	0.6791	0.3402	0.3812	-2.1542	-1.0442
141139	0.5336	0.2272	-1.3774	0.5358	-0.5839	1.4265	1.9494	0.9764	0.2998	-1.0162	-0.9704	0.4511	-0.0253	0.1614	-1.9345	-0.6497
141171	0.5485	0.1685	-1.3541	0.1947	-0.5741	1.3284	2.1381	0.8371	0.154	-0.6859	-1.0707	0.4866	0.2038	0.2691	-2.0839	-0.5575
141181	0.508	0.1963	-1.3506	0.4846	-0.5412	1.4217	1.9697	0.9718	0.2763	-0.9705	-0.9912	0.4688	0.0338	0.1989	-1.9693	-0.7039
141268	0.408	0.0828	-1.3535	0.4018	-0.5312	1.3716	2.0084	0.9854	0.2815	-0.7767	-1.0638	0.4421	0.0262	0.3678	-2.1039	-0.5449
150025	0.5409	0.1233	-1.3852	0.2143	-0.5375	1.3891	1.8558	0.9797	0.1721	-0.7444	-0.88	0.5483	0.1713	0.4848	-2.2059	-0.728
150143	0.5771	0.2343	-1.396	0.3522	-0.5689	1.3776	1.9884	0.9315	0.2214	-0.8853	-0.9595	0.5029	0.0774	0.2566	-2.0262	-0.6812
150208	0.7129	0.2463	-1.3319	-0.0266	-0.5245	1.3564	1.8727	0.7956	-0.0561	-0.6658	-0.7128	0.673	0.4414	0.4019	-2.2197	-0.9648
150257	0.5154	0.0993	-1.4201	0.259	-0.5254	1.3588	1.9247	0.9853	0.2467	-0.7462	-1.0237	0.4956	0.0676	0.4836	-2.1361	-0.5839
150452	0.7062	0.4578	-1.3167	0.1275	-0.5328	1.3432	1.9563	0.6904	-0.0233	-0.7354	-0.5903	0.6267	0.3889	0.1809	-2.1133	-1.1666
150558	0.65	0.3685	-1.2468	-0.0173	-0.4669	1.2866	2.0316	0.6469	-0.0865	-0.5551	-0.6662	0.6533	0.4873	0.268	-2.2051	-1.1499
150561	0.5916	0.1572	-1.4031	0.1871	-0.554	1.366	1.9352	0.9263	0.16	-0.7379	-0.9336	0.5352	0.1779	0.4228	-2.1594	-0.6712
150635	0.5473	0.2147	-1.3902	0.2982	-0.5743	1.3461	2.0584	0.8907	0.2197	-0.7663	-0.9953	0.4813	0.0949	0.2804	-2.0745	-0.6287
150913	0.714	0.4152	-1.336	0.0757	-0.4645	1.3174	1.9272	0.7254	-0.0326	-0.7366	-0.6538	0.6608	0.4072	0.2606	-2.1239	-1.1574
